onset	duration	run_number	trial_number	ext_mot_pos	ext_mot_ori	ext_mot_ver_dir	fix_off_prct	direction_report	response_duration
2392.127524	3.5660465	1	1	1	2	1	2	2	-0.1405465
2395.701932	3.5244707	1	2	1	9	1	3	n/a	n/a
2399.234793	3.8493996	1	3	2	6	1	1	1	-0.1997165
2403.101058	3.5242982	1	4	2	1	2	1	2	-0.3996395
2406.633745	3.5244112	1	5	2	5	2	4	1	0.9251508
2410.166509	3.641121	1	6	2	9	1	3	1	-0.2809057
2413.816116	3.5243457	1	7	2	10	2	3	1	-0.3246948
2417.349019	3.524273809	1	8	1	4	2	3	2	-0.2912186
2420.881629	3.5244943	1	9	2	8	1	1	1	-0.4823169
2424.414637	3.5242993	1	10	1	5	2	4	2	-0.3080261
2427.947275	3.5244961	1	11	1	3	2	4	2	-0.1657185
2431.480223	3.5243895	1	12	2	2	1	5	2	0.7502588
2435.013149	3.574303443	1	13	2	3	2	1	2	-0.6163104
2438.595844	3.5243981	1	14	2	7	1	2	1	0.2837836
2442.128794	3.5242743	1	15	1	8	2	4	2	-0.0166974
2445.661617	3.5242724	1	16	1	6	2	2	2	-0.4164894
2449.194381	3.5244636	1	17	1	10	2	5	1	0.2332457
2452.727116	3.5244241	1	18	2	4	2	3	1	-0.2497544
2456.259964	3.5243618	1	19	1	1	2	1	2	-0.5664361
2459.792727	3.5244668	1	20	1	7	2	5	2	0.0169926
