onset	duration	run_number	trial_number	ext_mot_pos	ext_mot_ori	ext_mot_ver_dir	direction_report	fix_off_prct	response_duration
3205.67975	3.540930691	3	1	1	4	2	3	2	-0.5496083
3209.229229	3.532645576	3	2	1	6	1	2	1	-0.5496598
3212.770294	3.524446	3	3	1	5	2	5	2	0.0919155
3216.303288	3.524331933	3	4	2	9	1	4	1	-0.2998052
3219.836126	3.541143235	3	5	2	10	1	1	1	-0.5824583
3223.394017	3.524388498	3	6	2	10	1	2	1	-0.2582593
3226.926853	3.524304126	3	7	2	9	1	5	2	-0.0829185
3230.459686	3.5243225	3	8	1	6	1	2	1	-0.1990559
3233.992492	3.5244099	3	9	2	4	1	1	2	-0.7663514
3237.525319	3.5327568	3	10	2	3	2	4	2	-0.3657775
3241.066508	3.5327556	3	11	1	3	1	4	2	-0.3821907
3244.607659	3.5244463	3	12	1	8	2	4	1	-0.4997412
3248.14069	3.52428892	3	13	1	5	2	3	2	-0.5747373
3251.673481	3.5244988	3	14	1	2	1	5	2	-0.1666728
3255.214681	3.524405	3	15	1	1	2	2	2	-0.4664911
3258.747465	3.5244049	3	16	1	10	2	5	1	-0.3664593
3262.280249	3.6911334	3	17	1	6	2	4	1	-0.3916231
3265.979819	3.5244149	3	18	1	2	2	5	2	-0.4081338
3269.512804	3.524302398	3	19	2	5	1	3	2	-0.4164909
3273.04562	3.5243347	3	20	1	7	2	3	1	-0.3414813
3276.578451	3.5243682	3	21	2	2	2	4	2	-0.2665372
3280.111328	3.5243413	3	22	2	4	1	1	2	-0.2331061
3283.644112	3.5244072	3	23	2	5	1	3	2	-0.4414694
3287.176919	3.5246518	3	24	1	4	1	5	2	-0.2330848
3290.709814	3.5243989	3	25	1	8	2	2	1	-0.4914854
3294.242736	3.5243637	3	26	1	8	2	4	1	-0.4915121
3297.775606	3.524333	3	27	2	7	2	5	1	-0.2582136
3301.308403	3.5244022	3	28	1	8	1	3	1	-0.4665417
3304.84962	3.5243568	3	29	1	10	1	4	1	-0.3161908
3308.382434	3.5243887	3	30	2	6	1	3	1	-0.3328833
3311.915281	3.524417	3	31	2	4	1	4	2	-0.1497533
3315.448232	3.5243695	3	32	1	2	2	2	2	0.1752711
3318.98104	3.5243409	3	33	2	9	1	1	1	-0.3331992
3322.513803	3.5244542	3	34	2	1	2	2	2	-0.5664798
3326.046682	3.5244298	3	35	1	5	2	5	2	-0.1415006
3329.579583	3.56603109	3	36	2	5	1	4	2	-0.258134
3333.154069	3.5243976	3	37	1	6	2	3	1	-0.2582169
3336.687034	3.52427741	3	38	1	9	1	5	1	-0.0998212
3340.21978	3.5243912	3	39	1	1	2	3	2	-0.3664726
3343.752602	3.5244301	3	40	1	9	1	3	1	-0.0498984
3347.285442	3.524416	3	41	1	7	1	5	1	-0.1665004
3350.81842	3.524449344	3	42	1	4	2	5	2	-0.4581516
3354.35122	3.524337	3	43	2	7	1	3	1	-0.4412215
3357.883915	3.5245049	3	44	1	9	1	1	1	-0.7664342
3361.416953	3.5243052	3	45	2	6	2	1	1	-0.6830029
3364.949695	3.5244536	3	46	2	3	2	1	2	-0.83313
3368.482556	3.5244529	3	47	2	8	2	5	1	-0.0915513
3372.015393	3.5244311	3	48	2	9	2	3	2	-0.0079888
3375.548335	3.5243395	3	49	2	10	1	3	1	-0.3415272
3379.081134	3.5245055	3	50	2	10	2	3	1	-0.3081874
3382.613994	3.5243801	3	51	1	10	2	4	1	-0.2665208
3386.146835	3.5243613	3	52	1	3	2	4	2	-0.2165212
3389.67972	3.5243567	3	53	2	8	2	4	1	-0.2831456
3393.212646	3.524289944	3	54	1	4	1	5	1	-0.1582005
3396.745334	3.5244486	3	55	2	2	1	4	2	-0.2163069
3400.278318	3.524315	3	56	1	10	2	2	2	-0.3330992
3403.811128	3.5243271	3	57	1	5	2	1	2	-0.2332183
3407.343913	3.5245588	3	58	2	1	2	2	2	-0.2165309
3410.876754	3.5244009	3	59	1	1	1	2	2	-0.3748356
3414.409661	3.5243714	3	60	1	7	2	4	2	0.0167887
3417.942492	3.5243688	3	61	2	6	1	1	1	-0.3748192
3421.475291	3.524417	3	62	2	6	2	1	1	-0.5329079
3425.008204	3.5243329	3	63	2	8	2	3	1	-0.3831343
3428.541097	3.52432	3	64	1	3	2	2	2	-0.6331209
3432.073833	3.524437	3	65	2	5	1	2	2	-0.5498121
3435.606782	3.5243027	3	66	2	4	2	1	2	-0.4248129
3439.139508	3.5244348	3	67	2	7	2	1	1	-0.5915816
3442.672514	3.524265642	3	68	2	2	1	3	2	-0.4831436
3446.20525	3.5243718	3	69	2	8	2	1	1	-0.7414127
3449.738084	3.524433	3	70	1	2	2	1	2	-0.7914419
3453.271047	3.5243001	3	71	1	7	1	3	1	-0.6164695
3456.803737	3.5244147	3	72	2	1	1	3	1	-0.3581728
3460.336708	3.5243436	3	73	2	2	2	1	2	-0.6164286
3463.869465	3.5243738	3	74	1	9	2	4	2	-0.2915127
3467.40233	3.5243717	3	75	1	3	2	1	2	-0.2331899
3470.935257	3.5242892	3	76	2	3	2	2	2	-0.5498122
3474.468055	3.5243539	3	77	2	1	1	5	1	-0.083215
3478.000977	3.52434651	3	78	1	1	2	3	2	-0.2331723
3481.533689	3.5244064	3	79	2	3	1	2	1	-0.0915345
3485.066643	3.5243826	3	80	2	7	1	3	2	-0.0997836
